GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringBootRestApi,com.example.demo,HastaRestApi,12,8,0,0,5,2,3,2,3,2
SpringBootRestApi,com.example.demo,SpringBootRestApiApplication,5,3,0,0,2,1,1,1,1,1
